"*04fkd*","527","Abalde, Alberto","","SF,Flx","0"
"*063e4*","528","Abass, Awudu","","PF,Flx","0"
"*031mi*","529","Abrines, lex","","SG,SF,Flx","0"
"*05qtm*","219","Achiuwa, Precious","NY","PF,C,Flx","4379527"
"*02ng1*","530","Acy, Quincy","PHO","SF,PF,Flx","0"
"*059ch*","531","Adams, Jalen","","PG,Flx","0"
"*04rvy*","532","Adams, Jaylen","","PG,Flx","0"
"*03e6q*","533","Adams, Jordan","","SG,Flx","0"
"*031lz*","534","Adams, Steven","MEM","C,Flx","12600000"
"*06238*","535","Adaway, Jalen","","SG,Flx","0"
"*04ewf*","85","Adebayo, Bam","MIA","C,Flx","32600060"
"*04vxy*","536","Adel, Deng","","C,Flx","0"
"*023tf*","537","Adrien, Jeff","","SF,PF,Flx","0"
"*0012t*","538","Afflalo, Arron","","SG,SF,Flx","0"
"*0621d*","200","Agbaji, Ochai","UTA","SG,Flx","4114200"
"*0011x*","539","Ager, Maurice","","SG,SF,Flx","0"
"*02wym*","540","Aguilar, Ronnie","","C,Flx","0"
"*005kr*","541","Ajinca, Alexis","","PF,C,Flx","0"
"*0050f*","542","Akindele, Deji","","C,Flx","0"
"*02wre*","543","Akognon, Josh","","PG,SG,Flx","0"
"*04uq3*","544","Akoon-Purcell, DeVaughn","","PG,Flx","0"
"*05uj4*","165","Aldama, Santi","MEM","PF,C,Flx","2194200"
"*02ngh*","545","Aldemir, Furkan","","PF,Flx","0"
"*01uyw*","546","Aldrich, Cole","","C,Flx","0"
"*0019g*","547","Aldridge, LaMarcus","","PF,Flx","0"
"*03acw*","548","Alexander, Cliff","","PF,Flx","0"
"*005kg*","549","Alexander, Joe","","SF,Flx","0"
"*052h3*","550","Alexander, Kyle","","PF,Flx","0"
"*05qvw*","551","Alexander, Ty-Shon","","SG,Flx","0"
"*051ox*","155","Alexander-Walker, Nickeil","MIN","SG,SF,Flx","4687500"
"*04lcd*","552","Alford, Bryce","","PG,Flx","0"
"*04sxx*","553","Alkins, Rawle","","SG,Flx","0"
"*04qry*","65","Allen, Grayson","PHO","SG,SF,Flx","8500000"
"*04ewm*","97","Allen, Jarrett","CLE","C,Flx","20000000"
"*04exg*","554","Allen, Kadeem","NY","SG,Flx","0"
"*027pz*","555","Allen, Lavoy","","PF,C,Flx","0"
"*059z0*","556","Allen, Marcus","","PG,Flx","0"
"*02x1h*","557","Allen, Ryan","","PG,SG,Flx","0"
"*06ho3*","558","Allen, Timmy","","SF,Flx","0"
"*00106*","559","Allen, Tony","","SG,SF,Flx","0"
"*0055a*","560","Allred, Lance","","C,Flx","0"
"*05wvw*","561","Alston, Derrick","","SG,SF,Flx","0"
"*05uul*","259","Alvarado, Jose","NO","PG,Flx","1836096"
"*01uyk*","562","Aminu, Al-Farouq","","SF,PF,Flx","0"
"*0018q*","563","Amundson, Louis","","PF,Flx","0"
"*02iuf*","564","Anderson, Alan","","SG,SF,Flx","0"
"*03wqs*","565","Anderson, Jake","","PG,Flx","0"
"*01uz5*","566","Anderson, James","","SG,SF,Flx","0"
"*03nwr*","567","Anderson, Justin","","SG,SF,Flx","0"
"*03aq3*","153","Anderson, Kyle","MIN","SF,PF,Flx","9219512"
"*005la*","568","Anderson, Ryan","","PF,C,Flx","0"
"*0480b*","569","Andrews, Andrew","","PG,Flx","0"
"*02gzy*","570","Andrews, Zach","","SF,PF,Flx","0"
"*04xgi*","571","Angola-Rodas, Braian","","SG,Flx","0"
"*04exa*","572","Anigbogu, Ike","","C,Flx","0"
"*031m2*","6","Antetokounmpo, Giannis","MIL","PF,C,Flx","45640084"
"*04qt0*","573","Antetokounmpo, Kostas","","PF,Flx","0"
"*03e7e*","434","Antetokounmpo, Thanasis","MIL","SF,Flx","2346614"
"*00129*","574","Anthony, Carmelo","","SF,Flx","0"
"*05qtl*","90","Anthony, Cole","ORL","PG,Flx","5539771"
"*0015v*","575","Anthony, Joel","","PF,C,Flx","0"
"*033l6*","576","Antic, Pero","","C,Flx","0"
"*04ewn*","62","Anunoby, OG","NY","SG,SF,Flx","18642857"
"*03kqq*","577","Appling, Keith","","PG,Flx","0"
"*043un*","483","Arcidiacono, Ryan","NY","PG,Flx","0"
"*001bw*","578","Arenas, Gilbert","","PG,Flx","0"
"*0014u*","579","Ariza, Trevor","","SG,SF,Flx","0"
"*065vb*","580","Arms, Adonis","","SF,PF,Flx","0"
"*0017f*","581","Armstrong, Hilton","","PF,C,Flx","0"
"*005km*","582","Arthur, Darrell","","PF,C,Flx","0"
"*04k0p*","583","Artis, Jamel","","SF,Flx","0"
"*03sgl*","584","Ashley, Brandon","","PF,Flx","0"
